[2025-11-25 11:51:36.142] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn3, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn4, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Beh, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Health, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind1, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind2, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind3, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind4, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Mod, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.NamPlt, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO1, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO2, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO3, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO4, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Beh, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Health, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Mod, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.NamPlt, error: 3
[2025-11-25 11:51:36.159] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyHealth, error: 3
[2025-11-25 11:51:36.160] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyNam, error: 3
[2025-11-25 11:51:36.160] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.Proxy, error: 3
[2025-11-25 11:51:37.165] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn1, error: 3
[2025-11-25 11:51:37.165] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn2, error: 3
[2025-11-25 11:51:37.165] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn3, error: 3
[2025-11-25 11:51:37.165] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn4, error: 3
[2025-11-25 11:51:37.165] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Beh, error: 3
[2025-11-25 11:51:37.165] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Health, error: 3
[2025-11-25 11:51:37.165] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind1, error: 3
[2025-11-25 11:51:37.165] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind2, error: 3
[2025-11-25 11:51:37.165] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind3, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind4, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Mod, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.NamPlt, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO1, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO2, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO3, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO4, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Beh, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Health, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Mod, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.NamPlt, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyHealth, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyNam, error: 3
[2025-11-25 11:51:37.189] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.Proxy, error: 3
[2025-11-25 11:51:38.190] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn1, error: 3
[2025-11-25 11:51:38.190] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn2, error: 3
[2025-11-25 11:51:38.190] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn3, error: 3
[2025-11-25 11:51:38.190] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn4, error: 3
[2025-11-25 11:51:38.190] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Beh, error: 3
[2025-11-25 11:51:38.190] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Health, error: 3
[2025-11-25 11:51:38.190] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind1, error: 3
[2025-11-25 11:51:38.190] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind2, error: 3
[2025-11-25 11:51:38.190] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind3, error: 3
[2025-11-25 11:51:38.190] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind4, error: 3
[2025-11-25 11:51:38.190] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Mod, error: 3
[2025-11-25 11:51:38.190] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.NamPlt, error: 3
[2025-11-25 11:51:38.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO1, error: 3
[2025-11-25 11:51:38.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO2, error: 3
[2025-11-25 11:51:38.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO3, error: 3
[2025-11-25 11:51:38.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO4, error: 3
[2025-11-25 11:51:38.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Beh, error: 3
[2025-11-25 11:51:38.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Health, error: 3
[2025-11-25 11:51:38.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Mod, error: 3
[2025-11-25 11:51:38.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.NamPlt, error: 3
[2025-11-25 11:51:38.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyHealth, error: 3
[2025-11-25 11:51:38.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyNam, error: 3
[2025-11-25 11:51:38.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.Proxy, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn1, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn2, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn3, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn4, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Beh, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Health, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind1, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind2, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind3, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind4, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Mod, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.NamPlt, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO1, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO2, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO3, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO4, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Beh, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Health, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Mod, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.NamPlt, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyHealth, error: 3
[2025-11-25 11:51:39.191] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyNam, error: 3
[2025-11-25 11:51:39.192] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.Proxy, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn1, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn2, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn3, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn4, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Beh, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Health, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind1, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind2, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind3, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind4, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Mod, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.NamPlt, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO1, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO2, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO3, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO4, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Beh, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Health, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Mod, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.NamPlt, error: 3
